author,first_commit,last_commit,commit_count,active_years,active_days,monthly_avg,commit_percentage,cumulative_percentage,contributor_type
Pedro Algarvio,2010-10-21,2011-08-31,6,2,314,0.5732484076433121,0.10960906101571063,79.32042382170259,Occasional Contributor
Chris Rebert,2013-07-22,2015-02-06,6,2,564,0.3191489361702128,0.10960906101571063,79.43003288271831,Occasional Contributor
matt swanson,2011-03-13,2011-03-13,6,1,0,inf,0.10960906101571063,79.53964194373403,Occasional Contributor
Aaron Kavlie,2011-03-14,2011-04-27,6,1,44,4.090909090909091,0.10960906101571063,79.64925100474974,Occasional Contributor
Daniel Pope,2019-05-31,2019-05-31,6,1,0,inf,0.10960906101571063,79.75886006576546,Occasional Contributor
Anton Sarukhanov,2016-06-02,2017-05-22,6,2,354,0.5084745762711864,0.10960906101571063,79.86846912678118,Occasional Contributor
Lowell Abbott,2017-05-22,2017-05-25,6,1,3,60.0,0.10960906101571063,79.9780781877969,Occasional Contributor
Hendrik Makait,2017-05-22,2017-05-25,6,1,3,60.0,0.10960906101571063,80.08768724881261,Occasional Contributor
David Baumgold,2019-05-06,2019-05-19,6,1,13,13.846153846153847,0.10960906101571063,80.19729630982833,Occasional Contributor
Anthony Plunkett,2017-05-24,2018-06-13,5,2,385,0.38961038961038963,0.09134088417975886,80.28863719400809,Occasional Contributor
Ori Livneh,2011-06-25,2011-06-25,5,1,0,inf,0.09134088417975886,80.37997807818785,Occasional Contributor
Maxim G. Ivanov,2022-12-21,2023-02-09,5,2,50,3.0,0.09134088417975886,80.4713189623676,Occasional Contributor
max demian,2014-03-15,2014-03-15,5,1,0,inf,0.09134088417975886,80.56265984654736,Occasional Contributor
Adam Zapletal,2010-06-28,2010-06-28,5,1,0,inf,0.09134088417975886,80.65400073072712,Occasional Contributor
Daniel Haaker,2010-10-28,2010-10-29,5,1,1,150.0,0.09134088417975886,80.74534161490688,Occasional Contributor
Max,2012-03-12,2019-04-15,5,2,2590,0.05791505791505792,0.09134088417975886,80.83668249908663,Occasional Contributor
Matt Campbell,2010-06-26,2010-06-26,5,1,0,inf,0.09134088417975886,80.92802338326639,Occasional Contributor
Justin Quick,2010-04-12,2010-07-02,5,1,81,1.8518518518518516,0.09134088417975886,81.01936426744615,Occasional Contributor
Jochen Kupperschmidt,2013-08-11,2019-11-13,5,4,2285,0.06564551422319474,0.09134088417975886,81.11070515162591,Occasional Contributor
RamiC,2016-06-02,2016-06-08,5,1,6,25.0,0.09134088417975886,81.20204603580567,Occasional Contributor
Jimmy McCarthy,2015-06-08,2015-09-14,5,1,98,1.5306122448979593,0.09134088417975886,81.29338691998542,Occasional Contributor
wgwz,2016-12-30,2016-12-31,5,1,1,150.0,0.09134088417975886,81.38472780416518,Occasional Contributor
cerickson,2017-05-22,2017-05-23,4,1,1,120.0,0.07307270734380708,81.45780051150899,Occasional Contributor
Bruce Sutherland,2015-01-21,2015-01-22,4,1,1,120.0,0.07307270734380708,81.5308732188528,Occasional Contributor
FND,2011-12-24,2012-01-31,4,2,38,3.1578947368421053,0.07307270734380708,81.60394592619662,Occasional Contributor
Max Countryman,2012-11-05,2013-01-17,4,2,73,1.643835616438356,0.07307270734380708,81.67701863354043,Occasional Contributor
EtiennePelletier,2019-05-06,2023-04-24,4,2,1449,0.08281573498964803,0.07307270734380708,81.75009134088424,Occasional Contributor
Diggory Blake,2017-03-23,2017-03-31,4,1,8,15.0,0.07307270734380708,81.82316404822805,Occasional Contributor
wilsaj,2011-06-21,2012-03-12,4,2,265,0.4528301886792453,0.07307270734380708,81.89623675557186,Occasional Contributor
Kevin Burke,2012-03-11,2013-08-04,4,2,511,0.23483365949119372,0.07307270734380708,81.96930946291567,Occasional Contributor
Kevin Kirsche,2021-09-14,2022-08-22,4,2,342,0.3508771929824561,0.07307270734380708,82.04238217025949,Occasional Contributor
Dmitry Shevchenko,2012-02-24,2012-04-08,4,1,44,2.7272727272727275,0.07307270734380708,82.1154548776033,Occasional Contributor
Abhijeet Kasurde,2015-10-20,2015-11-01,4,1,12,10.0,0.07307270734380708,82.18852758494711,Occasional Contributor
Leonardo Giordani,2020-06-21,2020-06-23,4,1,2,60.0,0.07307270734380708,82.26160029229092,Occasional Contributor
MikeTheReader,2017-05-22,2017-05-23,4,1,1,120.0,0.07307270734380708,82.33467299963473,Occasional Contributor
Antonio Larrosa,2017-03-23,2017-04-07,4,1,15,8.0,0.07307270734380708,82.40774570697855,Occasional Contributor
Pedro Torcatt,2021-09-22,2022-07-11,4,2,292,0.410958904109589,0.07307270734380708,82.48081841432236,Occasional Contributor
Hyunchel Kim,2016-06-02,2016-07-05,4,1,33,3.6363636363636367,0.07307270734380708,82.55389112166617,Occasional Contributor
Ned Jackson Lovely,2012-03-12,2012-03-12,4,1,0,inf,0.07307270734380708,82.62696382900998,Occasional Contributor
Alex Couper,2013-02-22,2013-02-22,4,1,0,inf,0.07307270734380708,82.70003653635379,Occasional Contributor
Alex Hedges,2021-05-15,2021-05-17,4,1,2,60.0,0.07307270734380708,82.7731092436976,Occasional Contributor
ThomasWaldmann,2011-07-10,2011-09-30,3,1,82,1.097560975609756,0.05480453050785532,82.82791377420546,Occasional Contributor
jackwardell,2020-04-16,2020-07-28,3,1,103,0.8737864077669903,0.05480453050785532,82.88271830471331,Occasional Contributor
Neil Grey,2017-05-22,2017-05-22,3,1,0,inf,0.05480453050785532,82.93752283522116,Occasional Contributor
jgraeme,2010-06-10,2010-08-03,3,1,54,1.6666666666666665,0.05480453050785532,82.99232736572901,Occasional Contributor
Martijn Pieters,2015-03-23,2016-11-01,3,2,589,0.15280135823429541,0.05480453050785532,83.04713189623686,Occasional Contributor
Christopher Grebs,2010-06-27,2010-06-27,3,1,0,inf,0.05480453050785532,83.10193642674471,Occasional Contributor
awsum,2012-01-07,2012-02-21,3,1,45,2.0,0.05480453050785532,83.15674095725257,Occasional Contributor
Sebastien Estienne,2010-04-25,2010-04-25,3,1,0,inf,0.05480453050785532,83.21154548776042,Occasional Contributor
Isaac To,2020-02-06,2020-02-06,3,1,0,inf,0.05480453050785532,83.26635001826827,Occasional Contributor
Alex Vykalyuk,2012-04-21,2012-05-14,3,1,23,3.9130434782608696,0.05480453050785532,83.32115454877612,Occasional Contributor
Sourya Vatsyayan,2015-01-03,2015-01-04,3,1,1,90.0,0.05480453050785532,83.37595907928397,Occasional Contributor
Kiss Gy枚rgy,2015-04-26,2016-06-25,3,2,426,0.2112676056338028,0.05480453050785532,83.43076360979182,Occasional Contributor
Finbarr O'Callaghan,2012-09-06,2012-09-06,3,1,0,inf,0.05480453050785532,83.48556814029968,Occasional Contributor
Paulo Bu,2014-08-28,2014-09-14,3,1,17,5.294117647058824,0.05480453050785532,83.54037267080753,Occasional Contributor
Dilan Coss,2018-05-28,2018-06-11,3,1,14,6.428571428571428,0.05480453050785532,83.59517720131538,Occasional Contributor
Rene A. Zelaya,2017-05-23,2017-05-23,3,1,0,inf,0.05480453050785532,83.64998173182323,Occasional Contributor
Marc Abramowitz,2012-05-27,2014-11-29,3,2,916,0.0982532751091703,0.05480453050785532,83.70478626233108,Occasional Contributor
